Location,Gross domestic product (GDP) Total (2011 PPP $ billions) 2013,Gross domestic product (GDP) Per capita (2011 PPP $) 2013,Gross fixed capital formation (% of GDP) 2005Ð2013, General government final consumption expenditure Total (% of GDP) 2005Ð2013, General government final consumption expenditure Average annual growth (%) 2005Ð2013,Total tax revenue (% of GDP) 2005Ð2013,"Taxes on income, profit and capital gain (% of total tax revenue) 2005Ð2013",Research and development expenditure  (% of GDP) 2005Ð2012,Domestic credit provided by financial sector (% of GDP) 2013,External debt stock (% of GNI) 2005Ð2013,Total debt service (% of GNI) 2013,Consumer price index (2010=100) 2013,Domestic food price level Index 2009Ð2014,Domestic food price level Volatility index 2009Ð2014
Kuwait,267.7,"82,358",18.0,16.7,15.0,0.7,0.6,0.1,47.9,,,111,2.6,3.7
Bahrain,56.5,"42,444",19.2,14.4,10.7,1.1,0.7,,78.6,,,106,2.2,18.5
Russian Federation,"3,381.5","23,564",21.5,19.5,0.5,15.1,1.9,1.1,48.3,,,122,4.3,5.2
"Palestine, State of",18.7,"4,484",22.2,27.7,-9.0,5.1,2.1,,,,,119,,
Oman,147.6,"44,532",22.3,19.2,10.0,2.6,2.6,0.1,35.7,,,108,3.3,9.2
Moldova (Republic of),16.1,"4,521",22.9,20.3,-2.0,18.6,2.7,0.4,44.0,75.0,7.6,118,4.8,5.7
Maldives,3.9,"11,283",40.4,16.8,,15.5,2.8,,86.9,42.0,3.7,129,3.5,14.2
Belarus,161.4,"17,055",36.9,14.2,-2.6,15.1,3.5,0.7,39.9,56.7,6.7,289,5.3,6.0
Afghanistan,57.6,"1,884",17.7,12.3,,7.5,3.7,,-3.9,12.3,0.1,127,,
Congo,25.3,"5,680",30.7,13.6,-11.8,5.9,4.1,,-7.2,30.4,2.7,112,6.3,18.8
Bosnia and Herzegovina,35.9,"9,387",17.9,22.8,-0.5,20.9,6.7,0.0,67.7,60.9,6.2,106,4.8,6.3
Central African Republic,2.7,584,14.8,7.7,1.0,9.5,6.9,,36.7,37.4,0.4,109,,
Serbia,92.4,"12,893",21.2,19.6,2.1,19.7,7.6,1.0,49.5,88.1,19.4,128,4.0,8.5
Croatia,85.3,"20,063",19.3,20.0,0.5,19.6,7.9,0.8,94.1,,,108,3.2,2.7
Latvia,43.9,"21,825",22.2,15.5,-11.0,13.8,8.7,0.7,58.6,,,107,2.9,7.9
Kiribati,0.2,"1,796",,,,16.1,8.7,,,,,,,
Estonia,33.3,"25,132",27.3,19.1,2.8,16.3,8.9,2.2,71.6,,,112,2.8,7.4
Lithuania,72.4,"24,483",17.4,18.7,-3.0,13.4,9.0,0.9,51.0,,,109,3.5,5.5
Bolivia (Plurinational State of),63.3,"5,934",19.1,13.9,9.3,17.0,9.6,0.2,50.4,27.5,1.9,121,5.9,12.2
Sweden,419.6,"43,741",22.1,26.2,1.6,20.7,9.8,3.4,138.1,,,104,1.5,6.7
Saint Kitts and Nevis,1.1,"20,709",28.7,19.2,,20.2,9.8,,65.9,,,109,2.9,
Togo,9.2,"1,346",18.3,9.6,15.8,16.4,10.1,0.3,36.0,24.4,1.5,108,6.8,15.5
Slovakia,142.2,"26,263",20.4,18.1,2.4,12.2,10.3,0.8,53.1,,,109,2.6,9.2
Slovenia,56.8,"27,576",19.7,20.4,-1.1,17.5,10.4,2.8,82.8,,,106,2.2,9.4
The former Yugoslav Republic of Macedonia,24.5,"11,609",24.8,17.5,-3.6,16.7,10.7,0.2,52.4,69.5,9.1,110,5.1,7.9
Niger,15.8,887,34.4,14.6,7.9,11.3,11.6,,11.8,36.3,0.6,106,7.2,9.4
Mongolia,25.9,"9,132",44.2,11.3,-25.0,18.2,11.6,0.3,63.6,176.0,13.0,137,4.8,16.7
